qid,docid,docno,rank,score,query,query_toks,text
0,195,1091_chunk001,0,977.0780736893795,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The applicant was arrested on 6 June 2019 in execution of a detention order that had since been issued and, after being questioned, received a notification from the Federal Office for Foreign Affairs and Asylum (BFA) on the same day on detention pending deportation. During detention pending..."
0,405,50_chunk001,1,902.8731926323563,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The Municipal Court found out that the applicant during his detention lodged the application for international protection, he was re-detained under the provisions of the Act on Asylum implementing Art. 8(3)(d) of the Recast Reception Directive and for this reason his original..."
0,61,3924_chunk001,2,824.8034076531321,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The applicant, a Palestinian national arrived in Cyprus via the occupied territories and was detained pursuant to the Aliens and Immigration Law and a deportation order was issued. He applied for asylum but was granted a supplementary protection status..."
0,225,942_chunk000,3,808.1872935048802,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The case concerns the possibility of detention when the asylum application is rejected but the time frame to submit an appeal has not expired. The judgments in Gnandi and the order in C., J. and S. do not envisage that the..."
0,368,550_chunk001,4,796.5330595102502,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The Federal Administrative Court subsequently denied the complaint, whereupon the asylum seeker lodged a complaint against detention. The court proceedings dealing with the individual's detention addressed the question of..."
0,367,550_chunk000,5,771.0319154051026,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible."
0,209,1010_chunk000,6,749.9976795576721,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","On 10 October 2018 the applicant was detained for illegal stay in the Czech Republic and placed in detention. Through EURODAC information, it was confirmed that the applicant had applied for international protection in Germany, Denmark and Switzerland. In addition, according to a communication from Germany, the complainant had at least six other identities."
0,428,200_chunk000,7,740.9219850650367,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children."
0,482,197_chunk000,8,740.9219850650367,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children."
0,179,913_chunk001,9,740.1663441335046,Applicant Detention and Asylum Claims,"{'asylum': 231.01242065429688, 'detention': 217.1792755126953, 'applicant': 170.61280822753906, 'claim': 155.9637908935547, 'application': 142.39892578125, 'claims': 127.17999267578125, 'prison': 117.04942321777344, 'immigration': 115.72674560546875, 'arrested': 104.70023345947266, 'lawsuit': 100.63427734375, 'alien': 91.5473861694336, 'applicants': 85.47240447998047, 'penalty': 85.0564956665039, 'refugee': 84.33718872070312, 'deportation': 79.77300262451172, 'candidate': 74.11628723144531, 'police': 52.615577697753906, 'judge': 51.17262649536133, 'jail': 47.93186569213867, 'persecution': 45.44091033935547, 'disability': 43.874114990234375, 'legal': 43.82500457763672, 'qualification': 43.29621887207031, 'jurisdiction': 42.0366096496582, 'registration': 41.738887786865234, 'regulation': 40.19966125488281, 'refugees': 33.98501968383789, 'ban': 32.5144157409668, 'claimed': 32.509605407714844, 'appointment': 31.06020736694336, 'rights': 29.874893188476562, 'protection': 25.767105102539062, 'inmate': 22.7263126373291, 'visa': 22.01372528076172, 'court': 21.313074111938477, 'duty': 20.74359893798828, 'agency': 20.545549392700195, 'threat': 19.69865608215332, 'law': 19.399736404418945, 'discrimination': 18.35834312438965, ')': 17.843687057495117, 'alleged': 17.810102462768555, 'case': 15.500174522399902, 'fraud': 14.901286125183105, 'holder': 14.824771881103516, 'refuge': 13.745416641235352, 'and': 13.37773609161377, 'illegal': 12.181244850158691, 'violation': 11.866278648376465, 'detained': 10.437248229980469, 'restoration': 8.546725273132324, 'torture': 8.531095504760742, 'facility': 8.489020347595215, 'arrest': 7.553507328033447, 'emergency': 6.732095718383789, 'shelter': 6.047550201416016, 'custody': 5.050491809844971, 'suit': 4.690654277801514, 'lawyer': 4.602712154388428, 'sheriff': 3.8064022064208984, 'person': 3.1756751537323, 'employment': 2.6483309268951416, 'denied': 2.3174397945404053, 'bureau': 1.3933528661727905, '##iction': 0.6440478563308716}","The Swedish Migration Court of Appeal referred to Article 15 (5) and (6) of the Return Directive as well as to the relevant provisions of the Swedish law and it held that within the same enforcement of a removal decision, an applicant can be held in detention for a maximum of..."
