qid,docid,docno,rank,score,query,text
0,4858,rusl20266_chunk030,0,23.56561449012282,ukraine military recruitment cluster,"nder pkt.

4.4 om ”Military recruitment in Chechnya” beskrivelse af forekomst af tvangsmæssig rekruttering i Tjetjenien til krigen i Ukraine."
0,721,rusl202634_chunk030,1,21.806447135473782,ukraine military recruitment cluster,"Forced recruitment: Chechen authorities employ distinct methods of military recruitment, compared to other parts of Russia, with cases of forced recruitment reported since summer 2022."
0,770,rusl202635_chunk031,2,21.806447135473782,ukraine military recruitment cluster,"Forced recruitment: Chechen authorities employ distinct methods of military recruitment, compared to other parts of Russia, with cases of forced recruitment reported since summer 2022."
0,711,rusl202634_chunk020,3,17.35775996412934,ukraine military recruitment cluster,"95-97, er følgende anført:   “4.4. Military recruitment in Chechnya: As noted by Huseyn Aliyev, the Chechen Republic stands out within Russia for its unique interpretation and application of federal laws."
0,760,rusl202635_chunk021,4,17.35775996412934,ukraine military recruitment cluster,"95-97, er følgende anført: “4.4. Military recruitment in Chechnya:  As noted by Huseyn Aliyev, the Chechen Republic stands out within Russia for its unique interpretation and application of federal laws."
0,725,rusl202634_chunk034,5,17.14814723607124,ukraine military recruitment cluster,"The authorities have also pressured critics of Ramzan Kadyrov and LGBTIQ persons to either enlist for military service or face imprisonment. Among people subjected to forced recruitment are also relatives and family members of opposition figures, including those who are abroad."
0,774,rusl202635_chunk035,6,17.14814723607124,ukraine military recruitment cluster,"The authorities have also pressured critics of Ramzan Kadyrov and LGBTIQ persons to either enlist for military service or face imprisonment. Among people subjected to forced recruitment are also relatives and family members of opposition figures, including those who are abroad."
0,699,rusl202634_chunk008,7,15.983637241466877,ukraine military recruitment cluster,Coercive recruitment: Coercive recruitment of ethnic Chechens to the Russian invasion of Ukraine has been ongoing since February 2022 but it has ebbed and flowed in terms of scale and intensity throughout the duration of the full-scale invasion.
0,748,rusl202635_chunk009,8,15.983637241466877,ukraine military recruitment cluster,Coercive recruitment: Coercive recruitment of ethnic Chechens to the Russian invasion of Ukraine has been ongoing since February 2022 but it has ebbed and flowed in terms of scale and intensity throughout the duration of the full-scale invasion.
0,4840,rusl20266_chunk012,9,15.983637241466877,ukraine military recruitment cluster,Coercive recruitment Coercive recruitment of ethnic Chechens to the Russian invasion of Ukraine has been ongoing since February 2022 but it has ebbed and flowed in terms of scale and intensity throughout the duration of the full-scale invasion.
0,714,rusl202634_chunk023,10,15.245327706631704,ukraine military recruitment cluster,"Chechen military units: After Russia’s full-scale invasion of Ukraine in February 2022, the head of Chechnya, Ramzan Kadyrov, significantly expanded Chechen military formations, reportedly establishing ten additional units, including new regiments and battalions as well as ‘volunteer’ Akhmat unit, which are subordinated to the Russian MoD."
0,763,rusl202635_chunk024,11,15.245327706631704,ukraine military recruitment cluster,"Chechen military units: After Russia’s full-scale invasion of Ukraine in February 2022, the head of Chechnya, Ramzan Kadyrov, significantly expanded Chechen military formations, reportedly establishing ten additional units, including new regiments and battalions as well as ‘volunteer’ Akhmat unit, which are subordinated to the Russian MoD."
0,4848,rusl20266_chunk020,12,14.48254406512653,ukraine military recruitment cluster,Harold Chambers stated that the authorities used coercive recruitment to get rid of what the Chechen authorities has labelled ‘undesirables’. HRW noted that any deviation from the norms and rules of Kadyrov could be used to force persons to sign contracts with the MoD or the National Guard. The Chechen authorities use forced recruitment to Ukraine as a form of punishment in Chechnya.
0,4839,rusl20266_chunk011,13,14.323728005824705,ukraine military recruitment cluster,"Om tvangshvervning af tjetjenere til krigen i Ukraine fremgår følgende af Udlændingestyrelsens/Migrationsverkets COI-rapport, Russia – Recruitment of Chechens to the war in Ukraine, april 2024 (s. 20ff): ”4.3.3."
